"","Name","YEAR","Revenue","Users by Segment"
"1","Total","2017",23.35,81.172
"2","Total","2018",26.53,89.61
"3","Total","2019",30.98,100.552
"4","Total","2020",44.13,131.807
"5","Total","2021",56.92,149.978
"6","Platform-to-Consumer Delivery","2017",9.261,40.12
"7","Platform-to-Consumer Delivery","2018",10.72,44.821
"8","Platform-to-Consumer Delivery","2019",12.91,50.659
"9","Platform-to-Consumer Delivery","2020",19.48,66.255
"10","Platform-to-Consumer Delivery","2021",28.12,75.249
"11","Restaurant-to-Consumer Delivery","2017",14.09,59.661
"12","Restaurant-to-Consumer Delivery","2018",15.81,65.472
"13","Restaurant-to-Consumer Delivery","2019",18.07,73.198
"14","Restaurant-to-Consumer Delivery","2020",24.65,96.062
"15","Restaurant-to-Consumer Delivery","2021",28.79,109.407
