"","Year","working_earning","restaurant_number","avg_unemployment"
"1",2010,11.54,555688,9.61666666666667
"2",2011,11.73,565632,8.95
"3",2012,11.91,577281,8.06666666666667
"4",2013,12.1,584843,7.375
"5",2014,12.48,593346,6.16666666666667
"6",2015,12.86,602294,5.29166666666667
"7",2016,13.42,613041,4.86666666666667
"8",2017,14.01,628210,4.35
"9",2018,14.57,642080,3.9
"10",2019,15.13,654217,3.66666666666667
"11",2020,15.6,656017,8.09166666666667
"12",2021,17.05,NA,5.36666666666667
"13",2022,NA,NA,4.1
